Season,Contestant,Age,Height,Hometown,Finish,Place
20,Nina Burns,18,1.74 m (5 ft 8 1⁄2 in),"Berkeley Heights, New Jersey",Episode 12,7
20,Renee Bhagwandeen,24,1.73 m (5 ft 8 in),"Fort Lauderdale, Florida",Episode 13,5
20,Jourdan Miller,19,1.85 m (6 ft 1 in),"Bend, Oregon",,1
21,Ivy Timlin[10],20,5 ft 8 in (1.73 m),"Buffalo, New York",Episode 3,14
21,Mirjana Puhar †[16],18,5 ft 8.5 in (1.74 m),"Charlotte, North Carolina",Episode 10,8
21,Kari Calhoun[13],23,5 ft 8.5 in (1.74 m),"Coppell, Texas",Episode 7,11
21,Chantelle Young[18],19,5 ft 8.25 in (1.73 m),"Toronto, Canada",Episode 13[a],6
21,Lenox Tillman[20],19,5 ft 9.5 in (1.77 m),"Newnan, Georgia",Episode 16,4
21,Shei Phan[19],23,5 ft 9.25 in (1.76 m),"Oklahoma City, Oklahoma",Episode 14,5
21,Raelia Lewis[17],22,6 ft 0.5 in (1.84 m),"Philadelphia, Pennsylvania",Episode 12,7
22,Courtney DuPerow[7],21,1.60 m (5 ft 3 in),"Avon Lake, Ohio",Episode 8,10
22,Ava Capra[5],19,1.65 m (5 ft 5 in),"Los Angeles, California",Episode 6,12
22,Hadassah Richardson[11],23,1.68 m (5 ft 6 in),"Houston, Texas",Episode 12,6
22,Ashley Molina[6],21,1.70 m (5 ft 7 in),"Brooklyn, New York",Episode 7,11
22,Lacey Rogers[14],18,1.73 m (5 ft 8 in),"El Dorado, Arkansas",Episode 16,4–3
22,Mamé Adjei[15],23,1.73 m (5 ft 8 in),"Silver Spring, Maryland",Episode 16,2
22,Delanie Dischert[3],21,1.79 m (5 ft 10 1⁄2 in),"Wilmington, Delaware",Episode 3,14
23,Justine Biticon,18,1.77 m (5 ft 9 1/2 in),"Panorama City, California",Episode 2,14
23,Cherish Waters,25,1.76 m (5 ft 9 1/2 in),"Los Angeles, California",Episode 3,13
23,Giah Hardeman,21,1.68 m (5 ft 6 in),"Bryan-College Station, Texas",Episode 5,12
23,Krislian Rodriguez,25,1.72 m (5 ft 7 1/2 in),"Los Angeles, California",Episode 6,11
23,Kyle McCoy,23,1.76 m (5 ft 9 1/2 in),"Darien, Connecticut",Episode 7,10
23,Binta Dibba,25,1.75 m (5 ft 9 in),"Seattle, Washington",Episode 8,9
23,Marissa Hopkins,18,1.77 m (5 ft 9 1/2 in),"Houston, Texas",Episode 9,8
23,Paige Mobley,22,1.80 m (5 ft 11 in),"Birmingham, Michigan",Episode 10,7
23,Tash Wells,26,1.78 m (5 ft 10 in),"San Jose, California",Episode 11,6
23,Cody Wells,26,1.78 m (5 ft 10 in),"San Jose, California",Episode 12,5
23,Courtney Nelson,25,1.72 m (5 ft 7 1/2 in),"San Francisco, California",Episode 14,4
23,CoryAnne Roberts,19,1.78 m (5 ft 10 in),"Los Angeles, California",Episode 15,3
23,Tatiana Price,21,1.77 m (5 ft 9 1/2 in),"Queens, New York",,2
23,India Gants,20,1.74 m (5 ft 8 1/2 in),"Seattle, Washington",,1
24,Maggie Keating,20,1.70 m (5 ft 7 in),"Surry, Maine",Episode 2,15
24,Ivana Thomas,23,1.78 m (5 ft 10 in),"Durham, North Carolina",Episode 3,14
24,Liz Woodbury,24,1.73 m (5 ft 8 in),"Greenville, Massachusetts",Episode 4,13 (quit)
24,Rhiyan Carreker,20,1.80 m (5 ft 11 in),"Orange County, California",,12
24,Coura Fall,24,1.78 m (5 ft 10 in),"Eastvale, California",Episode 5,11
