Season,Contestant,Age,Height,Hometown,Finish,Place
13,Brittany Markert,21,5 ft 5 in (1.65 m),"Livermore, California",Episode 9,6
13,Sundai Love,18,5 ft 3 in (1.60 m),"Bakersfield, California",Episode 10,5
13,Jennifer An,23,5 ft 5 in (1.65 m),"Philadelphia, Pennsylvania",Episode 11,4–3
13,Erin Wagner,18,5 ft 6 in (1.68 m),"Spring Grove, Illinois",,
13,Laura Kirkpatrick,19,5 ft 6 in (1.68 m),"Stanford, Kentucky",Episode 12,2
13,Nicole Fox,18,5 ft 7 in (1.70 m),"Louisville, Colorado",,1
14,Gabrielle Kniery,18,5 ft 7.5 in (1.71 m),"St. Louis, Missouri",Episode 2,13
14,Naduah Rugely,22,5 ft 7 in (1.70 m),"San Diego, California",,12
14,Ren Vokes,22[3],5 ft 9 in (1.75 m),"Dallas, Texas",Episode 3,11
14,Simone Lewis,19,5 ft 10 in (1.78 m),"Lenexa, Kansas",Episode 4,10
14,Tatianna Kern,21,5 ft 9 in (1.75 m),"Ewa Beach, Hawaii",Episode 5,9
14,Brenda Arens,23,5 ft 11 in (1.80 m),"Houston, Texas",Episode 6,8
14,Anslee Payne-Franklin,23,5 ft 9 in (1.75 m),"Dacula, Georgia",Episode 7,7
